TOP.67ab39e8.00029e4c	START
TOP.67ab3d80.000db6ca	user_options->logfile_disable	0
TOP.67ab3d80.000db6ca	user_options->loopback	0
TOP.67ab3d80.000db6ca	user_options->machine_readable	0
TOP.67ab3d80.000db6ca	user_options->markov_classic	0
TOP.67ab3d80.000db6ca	user_options->markov_disable	0
TOP.67ab3d80.000db6ca	user_options->markov_inverse	0
TOP.67ab3d80.000db6ca	user_options->markov_threshold	256
TOP.67ab3d80.000db6ca	user_options->multiply_accel_disable	0
TOP.67ab3d80.000db6ca	user_options->backend_info	0
TOP.67ab3d80.000db6ca	user_options->backend_vector_width	0
TOP.67ab3d80.000db6ca	user_options->optimized_kernel_enable	0
TOP.67ab3d80.000db6ca	user_options->outfile_autohex	1
TOP.67ab3d80.000db6ca	user_options->outfile_check_timer	5
TOP.67ab3d80.000db6ca	user_options->outfile_format	3
TOP.67ab3d80.000db6ca	user_options->wordlist_autohex_disable	0
TOP.67ab3d80.000db6ca	user_options->potfile_disable	0
TOP.67ab3d80.000db6ca	user_options->progress_only	0
TOP.67ab3d80.000db6ca	user_options->quiet	0
TOP.67ab3d80.000db6ca	user_options->remove	0
TOP.67ab3d80.000db6ca	user_options->remove_timer	60
TOP.67ab3d80.000db6ca	user_options->restore	0
TOP.67ab3d80.000db6ca	user_options->restore_disable	0
TOP.67ab3d80.000db6ca	user_options->restore_timer	1
TOP.67ab3d80.000db6ca	user_options->rp_files_cnt	0
TOP.67ab3d80.000db6ca	user_options->rp_gen	0
TOP.67ab3d80.000db6ca	user_options->rp_gen_func_max	4
TOP.67ab3d80.000db6ca	user_options->rp_gen_func_min	1
TOP.67ab3d80.000db6ca	user_options->rp_gen_seed	0
TOP.67ab3d80.000db6ca	user_options->runtime	0
TOP.67ab3d80.000db6ca	user_options->scrypt_tmto	0
TOP.67ab3d80.000db6ca	user_options->segment_size	33554432
TOP.67ab3d80.000db6ca	user_options->self_test_disable	0
TOP.67ab3d80.000db6ca	user_options->slow_candidates	0
TOP.67ab3d80.000db6ca	user_options->show	0
TOP.67ab3d80.000db6ca	user_options->speed_only	0
TOP.67ab3d80.000db6ca	user_options->spin_damp	0
TOP.67ab3d80.000db6ca	user_options->status	0
TOP.67ab3d80.000db6ca	user_options->status_json	0
TOP.67ab3d80.000db6ca	user_options->status_timer	10
TOP.67ab3d80.000db6ca	user_options->stdout_flag	0
TOP.67ab3d80.000db6ca	user_options->usage	0
TOP.67ab3d80.000db6ca	user_options->username	0
TOP.67ab3d80.000db6ca	user_options->veracrypt_pim_start	485
TOP.67ab3d80.000db6ca	user_options->veracrypt_pim_stop	485
TOP.67ab3d80.000db6ca	user_options->version	0
TOP.67ab3d80.000db6ca	user_options->workload_profile	2
TOP.67ab3d80.000db6ca	user_options->brain_client	0
TOP.67ab3d80.000db6ca	user_options->brain_client_features	2
TOP.67ab3d80.000db6ca	user_options->brain_server	0
TOP.67ab3d80.000db6ca	user_options->brain_server_timer	300
TOP.67ab3d80.000db6ca	user_options->brain_port	6863
TOP.67ab3d80.000db6ca	user_options->brain_session	0
TOP.67ab3d80.000db6ca	hashes->hashfile	D:\LINUXSHARE\2087763_1739272915.hc22000
TOP.67ab3d80.000db6ca	hashes->hashlist_mode	5
TOP.67ab3d80.000db6ca	hashes->hashlist_format	0
TOP.67ab3d80.000db6ca	hashes->hashes_cnt	0
TOP.67ab3d80.000db6ca	hashes->digests_cnt	2
TOP.67ab3d80.000db6ca	hashes->digests_done_pot	0
TOP.67ab3d80.000db6ca	hashes->digests_done_zero	0
TOP.67ab3d80.000db6ca	hashes->digests_done	0
TOP.67ab3d80.000db6ca	hashes->salts_cnt	1
TOP.67ab3d80.000db6ca	hashes->salts_done	0
TOP.67ab3d80.000db6ca	SUB.67ab3d82.00036be8	START
TOP.67ab3d80.000db6ca	SUB.67ab3d82.00036be8	mask_ctx->mask	?d?d?d?d?d?d?d?d
TOP.67ab3d80.000db6ca	SUB.67ab3d82.00036be8	runtime_start	1739275650
TOP.67ab3d80.000db6ca	SUB.67ab3d82.00036be8	runtime_stop	1739275936
TOP.67ab3d80.000db6ca	SUB.67ab3d82.00036be8	hashes->digests_done_new	0
TOP.67ab3d80.000db6ca	SUB.67ab3d82.00036be8	status-after-work	5
TOP.67ab3d80.000db6ca	SUB.67ab3d82.00036be8	STOP
TOP.67ab3d80.000db6ca	proc_start	1739275648
TOP.67ab3d80.000db6ca	proc_stop	1739275938
TOP.67ab3d80.000db6ca	STOP
TOP.67ab44b7.000b8de8	START
TOP.67ab44b7.000b8de8	folder_config->cwd	C:\Users\aaa05\Desktop\hashcat-6.2.6
TOP.67ab44b7.000b8de8	folder_config->install_dir	.
TOP.67ab44b7.000b8de8	folder_config->profile_dir	.
TOP.67ab44b7.000b8de8	folder_config->session_dir	.
TOP.67ab44b7.000b8de8	folder_config->shared_dir	.
TOP.67ab44b7.000b8de8	user_options->encoding_from	utf-8
TOP.67ab44b7.000b8de8	user_options->encoding_to	utf-8
TOP.67ab44b7.000b8de8	user_options->rule_buf_l	:
TOP.67ab44b7.000b8de8	user_options->rule_buf_r	:
TOP.67ab44b7.000b8de8	user_options->session	hashcat
TOP.67ab44b7.000b8de8	user_options->separator	:
TOP.67ab44b7.000b8de8	user_options->limit	0
TOP.67ab44b7.000b8de8	user_options->skip	0
TOP.67ab44b7.000b8de8	user_options->attack_mode	3
TOP.67ab44b7.000b8de8	user_options->benchmark	0
TOP.67ab44b7.000b8de8	user_options->benchmark_all	0
TOP.67ab44b7.000b8de8	user_options->bitmap_max	18
TOP.67ab44b7.000b8de8	user_options->bitmap_min	16
TOP.67ab44b7.000b8de8	user_options->debug_mode	0
TOP.67ab44b7.000b8de8	user_options->hash_info	0
TOP.67ab44b7.000b8de8	user_options->force	0
TOP.67ab44b7.000b8de8	user_options->hwmon_disable	0
TOP.67ab44b7.000b8de8	user_options->hwmon_temp_abort	90
TOP.67ab44b7.000b8de8	user_options->hash_mode	22000
